index,x,y,z
1,0,1,1.05
2,0.012533,0.99895,1.0465
3,0.024898,0.99833,1.043
4,0.037103,0.99812,1.0395
5,0.049155,0.99833,1.0361
6,0.075821,1.0003,1.0284
7,0.10182,1.0043,1.0209
8,0.12723,1.0102,1.0135
9,0.15212,1.018,1.0062
10,0.17695,1.0279,0.999
11,0.20137,1.0397,0.99188
12,0.22547,1.0534,0.98491
13,0.24929,1.0689,0.97806
14,0.27452,1.0874,0.9709
15,0.29957,1.108,0.9639
16,0.32452,1.1306,0.95707
17,0.34943,1.1553,0.9504
18,0.37563,1.1833,0.94357
19,0.40192,1.2136,0.93694
20,0.42838,1.2461,0.93051
21,0.45507,1.2808,0.92429
22,0.48335,1.3197,0.918
23,0.51203,1.361,0.91197
24,0.54118,1.4048,0.9062
25,0.57086,1.4513,0.9007
26,0.60258,1.5027,0.89525
27,0.63504,1.557,0.89014
28,0.66833,1.6143,0.88539
29,0.7025,1.6747,0.88101
30,0.73922,1.7411,0.87687
31,0.77708,1.811,0.8732
32,0.81618,1.8845,0.87002
33,0.85661,1.9618,0.86739
34,0.90009,2.0461,0.86526
35,0.9452,2.1347,0.86381
36,0.99204,2.2278,0.86307
37,1.0407,2.3256,0.86312
38,1.0933,2.4322,0.86407
39,1.1482,2.5442,0.866
40,1.2054,2.6618,0.869
41,1.2651,2.7853,0.87318
42,1.3312,2.9229,0.879
43,1.4005,3.0676,0.88639
44,1.4731,3.2199,0.89549
45,1.5492,3.38,0.90648
46,1.633,3.557,0.92025
47,1.7212,3.7436,0.93655
48,1.8139,3.9401,0.95561
49,1.9113,4.147,0.97775
50,2.0184,4.3745,1.0045
51,2.1312,4.6146,1.0353
52,2.2501,4.8677,1.0706
53,2.3755,5.1346,1.111
54,2.5132,5.4279,1.159
55,2.6588,5.7375,1.2137
56,2.8125,6.0643,1.276
57,2.9748,6.409,1.3467
58,3.1465,6.7732,1.4268
59,3.3279,7.157,1.5174
60,3.5193,7.5614,1.6196
61,3.7214,7.9872,1.7348
62,3.9233,8.4114,1.8573
63,4.1358,8.8564,1.9941
64,4.3592,9.3226,2.1468
65,4.594,9.8107,2.3169
66,4.8286,10.296,2.4967
67,5.0744,10.802,2.6957
68,5.3318,11.329,2.9157
69,5.6013,11.877,3.1586
70,5.8709,12.422,3.4148
71,6.1523,12.987,3.6961
72,6.4458,13.57,4.0046
73,6.7516,14.173,4.3428
74,7.0584,14.772,4.6991
75,7.3772,15.387,5.0874
76,7.708,16.017,5.5104
77,8.051,16.662,5.9703
78,8.3968,17.303,6.4563
79,8.7543,17.953,6.9825
80,9.1232,18.613,7.5512
81,9.5035,19.279,8.1652
82,9.8911,19.942,8.8202
83,10.289,20.605,9.5245
84,10.698,21.266,10.28
85,11.116,21.92,11.09
86,11.553,22.578,11.976
87,11.998,23.22,12.923
88,12.451,23.839,13.932
89,12.909,24.429,15.003
90,13.433,25.054,16.289
91,13.96,25.622,17.654
92,14.487,26.125,19.098
93,15.012,26.549,20.617
94,15.47,26.85,22.017
95,15.921,27.072,23.467
96,16.361,27.208,24.961
97,16.787,27.249,26.492
98,17.132,27.206,27.8
99,17.463,27.088,29.124
100,17.778,26.891,30.455
101,18.075,26.613,31.789
102,18.319,26.301,32.954
103,18.545,25.923,34.11
104,18.753,25.479,35.251
105,18.942,24.971,36.372
106,19.1,24.431,37.406
107,19.238,23.835,38.413
108,19.355,23.184,39.387
109,19.451,22.48,40.324
110,19.523,21.738,41.207
111,19.572,20.949,42.046
112,19.598,20.118,42.838
113,19.6,19.247,43.579
114,19.581,18.417,44.212
115,19.542,17.561,44.798
116,19.482,16.681,45.335
117,19.401,15.781,45.823
118,19.309,14.94,46.226
119,19.199,14.088,46.586
120,19.073,13.228,46.902
121,18.929,12.363,47.174
122,18.779,11.541,47.391
123,18.613,10.721,47.569
124,18.434,9.9027,47.709
125,18.24,9.0896,47.811
126,18.041,8.3124,47.875
127,17.83,7.5437,47.905
128,17.608,6.7851,47.904
129,17.374,6.0383,47.871
130,17.137,5.3246,47.81
131,16.89,4.6248,47.723
132,16.634,3.9401,47.609
133,16.37,3.2715,47.471
134,16.105,2.6383,47.315
135,15.833,2.022,47.138
136,15.555,1.4232,46.942
137,15.271,0.84262,46.728
138,14.995,0.30827,46.509
139,14.715,-0.20895,46.277
140,14.43,-0.70878,46.031
141,14.142,-1.191,45.774
142,13.881,-1.6072,45.535
143,13.618,-2.0092,45.288
144,13.353,-2.397,45.034
145,13.085,-2.7706,44.773
146,12.729,-3.2429,44.42
147,12.371,-3.6909,44.059
148,12.011,-4.115,43.691
149,11.65,-4.5155,43.318
150,11.201,-4.9804,42.849
151,10.753,-5.4109,42.375
152,10.305,-5.8083,41.9
153,9.8592,-6.1737,41.424
154,9.2996,-6.5921,40.825
155,8.7457,-6.9646,40.232
156,8.1987,-7.2942,39.647
157,7.66,-7.5838,39.072
158,6.928,-7.9251,38.296
159,6.2161,-8.203,37.546
160,5.5262,-8.4249,36.827
161,4.8597,-8.5977,36.139
162,4.3425,-8.7053,35.61
163,3.8414,-8.7887,35.102
164,3.3568,-8.8506,34.616
165,2.8887,-8.8938,34.15
166,2.489,-8.9183,33.755
167,2.1023,-8.9315,33.376
168,1.7284,-8.9351,33.012
169,1.3672,-8.9301,32.663
170,1.0301,-8.9183,32.339
171,0.70459,-8.9008,32.027
172,0.39035,-8.8782,31.728
173,0.087213,-8.8516,31.441
174,-0.19591,-8.8225,31.173
175,-0.46909,-8.7909,30.916
176,-0.73257,-8.7572,30.668
177,-0.98659,-8.722,30.429
178,-1.2693,-8.6798,30.164
179,-1.5402,-8.6368,29.911
180,-1.7995,-8.5935,29.668
181,-2.0477,-8.5504,29.435
182,-2.3528,-8.4956,29.149
183,-2.641,-8.4425,28.877
184,-2.9132,-8.3919,28.62
185,-3.1703,-8.3442,28.376
186,-3.3884,-8.3044,28.168
187,-3.5958,-8.2675,27.97
188,-3.7928,-8.2338,27.78
189,-3.9802,-8.2035,27.599
190,-4.1569,-8.1769,27.427
191,-4.3252,-8.1538,27.263
192,-4.4855,-8.1343,27.106
193,-4.6383,-8.1185,26.956
194,-4.7873,-8.106,26.809
195,-4.9294,-8.0974,26.669
196,-5.0651,-8.0925,26.536
197,-5.1949,-8.0914,26.408
198,-5.3231,-8.0942,26.283
199,-5.4459,-8.1009,26.164
200,-5.5636,-8.1114,26.051
201,-5.6767,-8.1256,25.943
202,-5.7896,-8.1443,25.838
203,-5.8983,-8.1667,25.739
204,-6.0031,-8.1929,25.645
205,-6.1044,-8.2226,25.558
206,-6.2067,-8.2572,25.473
207,-6.3058,-8.2954,25.394
208,-6.4021,-8.337,25.322
209,-6.4959,-8.3819,25.255
210,-6.5917,-8.4321,25.192
211,-6.6853,-8.4855,25.136
212,-6.777,-8.5417,25.086
213,-6.867,-8.6007,25.043
214,-6.9599,-8.6652,25.005
215,-7.0514,-8.7323,24.974
216,-7.1417,-8.8014,24.951
217,-7.231,-8.8725,24.935
218,-7.324,-8.949,24.925
219,-7.4162,-9.027,24.924
220,-7.5075,-9.1059,24.931
221,-7.5983,-9.1856,24.945
222,-7.6932,-9.2698,24.969
223,-7.7875,-9.354,25.002
224,-7.8811,-9.4376,25.043
225,-7.9742,-9.5202,25.093
226,-8.0711,-9.6052,25.154
227,-8.1672,-9.6881,25.225
228,-8.2624,-9.7683,25.304
229,-8.3566,-9.8453,25.391
230,-8.4532,-9.9213,25.491
231,-8.5482,-9.9926,25.598
232,-8.6417,-10.059,25.714
233,-8.7332,-10.119,25.838
234,-8.8244,-10.174,25.971
235,-8.9131,-10.222,26.111
236,-8.9989,-10.262,26.257
237,-9.0814,-10.294,26.409
238,-9.1611,-10.317,26.566
239,-9.2367,-10.332,26.727
240,-9.3081,-10.337,26.89
241,-9.3748,-10.332,27.056
242,-9.4369,-10.316,27.223
243,-9.4935,-10.291,27.39
244,-9.5445,-10.256,27.556
245,-9.5895,-10.21,27.719
246,-9.6288,-10.153,27.882
247,-9.6615,-10.086,28.041
248,-9.6872,-10.009,28.193
249,-9.7057,-9.9229,28.34
250,-9.7174,-9.8225,28.485
251,-9.7209,-9.7129,28.621
252,-9.7162,-9.5949,28.747
253,-9.7034,-9.4695,28.861
254,-9.683,-9.3408,28.96
255,-9.6551,-9.2068,29.047
256,-9.6198,-9.0685,29.121
257,-9.5774,-8.9269,29.182
258,-9.5322,-8.7943,29.226
259,-9.4814,-8.6605,29.259
260,-9.4254,-8.5264,29.279
261,-9.3645,-8.3928,29.289
262,-9.3013,-8.2647,29.286
263,-9.2342,-8.1385,29.273
264,-9.1636,-8.0146,29.25
265,-9.0898,-7.8937,29.216
266,-9.0133,-7.7765,29.172
267,-8.9345,-7.6633,29.119
268,-8.8537,-7.5547,29.057
269,-8.7713,-7.4509,28.986
270,-8.686,-7.3503,28.905
271,-8.6,-7.2556,28.816
272,-8.5135,-7.1671,28.72
273,-8.4272,-7.085,28.617
274,-8.3378,-7.0065,28.502
275,-8.2494,-6.9354,28.382
276,-8.1623,-6.8717,28.256
277,-8.077,-6.8156,28.125
278,-7.9888,-6.7645,27.981
279,-7.9035,-6.7219,27.833
280,-7.8215,-6.6879,27.682
281,-7.743,-6.6623,27.528
282,-7.6623,-6.6441,27.36
283,-7.5865,-6.6355,27.19
284,-7.5162,-6.6365,27.019
285,-7.4514,-6.6467,26.849
286,-7.3854,-6.6692,26.659
287,-7.3273,-6.7028,26.471
288,-7.2772,-6.7471,26.287
289,-7.2354,-6.8018,26.107
290,-7.1989,-6.8742,25.914
291,-7.173,-6.9583,25.73
292,-7.1576,-7.0535,25.555
293,-7.1529,-7.1592,25.39
294,-7.159,-7.2767,25.235
295,-7.1759,-7.4037,25.094
296,-7.2035,-7.5395,24.966
297,-7.2415,-7.6833,24.854
298,-7.2862,-7.824,24.764
299,-7.3395,-7.9703,24.69
300,-7.4011,-8.1214,24.631
301,-7.4707,-8.2765,24.588
302,-7.5423,-8.4238,24.564
303,-7.6201,-8.573,24.555
304,-7.7038,-8.7234,24.562
305,-7.7929,-8.8741,24.584
306,-7.8826,-9.0173,24.62
307,-7.9765,-9.1591,24.672
308,-8.0739,-9.2985,24.738
309,-8.1745,-9.4345,24.819
310,-8.2737,-9.5613,24.911
311,-8.3748,-9.6832,25.017
312,-8.4772,-9.7993,25.135
313,-8.5804,-9.9085,25.266
314,-8.6808,-10.007,25.405
315,-8.7808,-10.098,25.555
316,-8.8798,-10.179,25.715
317,-8.9771,-10.25,25.885
318,-9.0711,-10.31,26.061
319,-9.1623,-10.359,26.244
320,-9.25,-10.396,26.433
321,-9.3335,-10.42,26.628
322,-9.4082,-10.431,26.815
323,-9.4781,-10.43,27.004
324,-9.5428,-10.417,27.194
325,-9.6017,-10.391,27.384
326,-9.6533,-10.354,27.569
327,-9.6987,-10.306,27.75
328,-9.7373,-10.245,27.928
329,-9.769,-10.174,28.1
330,-9.7937,-10.089,28.269
331,-9.8106,-9.9941,28.431
332,-9.8195,-9.8887,28.583
333,-9.8203,-9.7739,28.725
334,-9.8124,-9.6447,28.862
335,-9.7956,-9.5072,28.986
336,-9.7699,-9.3624,29.095
337,-9.7355,-9.2115,29.19
338,-9.6976,-9.0725,29.262
339,-9.6531,-8.9305,29.321
340,-9.6023,-8.7865,29.368
341,-9.5455,-8.6414,29.401
342,-9.4867,-8.5042,29.421
343,-9.4231,-8.3676,29.429
344,-9.3552,-8.2323,29.426
345,-9.2833,-8.099,29.411
346,-9.2088,-7.9701,29.386
347,-9.1311,-7.8443,29.35
348,-9.0507,-7.7223,29.304
349,-8.9679,-7.6044,29.249
350,-8.8821,-7.4898,29.183
351,-8.7947,-7.3805,29.108
352,-8.7062,-7.2767,29.025
353,-8.6169,-7.1789,28.933
354,-8.5244,-7.0844,28.831
355,-8.4319,-6.9968,28.722
356,-8.34,-6.9162,28.605
357,-8.249,-6.843,28.483
358,-8.1547,-6.7739,28.348
359,-8.0624,-6.7131,28.208
360,-7.9725,-6.6605,28.063
361,-7.8852,-6.6162,27.914
362,-7.7951,-6.5779,27.751
363,-7.709,-6.549,27.585
364,-7.6272,-6.5293,27.417
365,-7.55,-6.5188,27.248
366,-7.4709,-6.5174,27.061
367,-7.3981,-6.5267,26.874
368,-7.332,-6.5462,26.688
369,-7.2728,-6.5756,26.504
370,-7.2128,-6.6222,26.294
371,-7.1628,-6.6814,26.088
372,-7.1231,-6.7528,25.889
373,-7.0938,-6.8357,25.698
374,-7.0744,-6.9339,25.508
375,-7.0665,-7.0435,25.33
376,-7.0699,-7.1637,25.163
377,-7.0847,-7.2941,25.01
378,-7.1103,-7.4323,24.873
379,-7.1466,-7.579,24.75
380,-7.1935,-7.7334,24.645
381,-7.2505,-7.8947,24.556
382,-7.311,-8.0467,24.492
383,-7.3794,-8.2029,24.443
384,-7.4552,-8.3626,24.411
385,-7.5383,-8.525,24.395
386,-7.623,-8.6802,24.396
387,-7.7133,-8.8362,24.414
388,-7.8089,-8.9919,24.447
389,-7.9092,-9.1466,24.497
390,-8.0093,-9.2927,24.56
391,-8.1127,-9.436,24.639
392,-8.2191,-9.5754,24.732
393,-8.3278,-9.7099,24.841
394,-8.434,-9.8337,24.959
395,-8.5414,-9.9511,25.091
396,-8.6492,-10.061,25.235
397,-8.7568,-10.162,25.392
398,-8.861,-10.252,25.556
399,-8.9637,-10.332,25.73
400,-9.0645,-10.401,25.913
401,-9.1625,-10.458,26.104
402,-9.2541,-10.502,26.296
403,-9.342,-10.534,26.494
404,-9.4255,-10.553,26.695
405,-9.5041,-10.559,26.9
406,-9.5741,-10.552,27.098
407,-9.6385,-10.533,27.296
408,-9.697,-10.501,27.493
409,-9.7489,-10.456,27.687
410,-9.7937,-10.399,27.877
411,-9.8314,-10.331,28.062
412,-9.8617,-10.25,28.241
413,-9.8843,-10.159,28.413
414,-9.8994,-10.053,28.582
415,-9.9059,-9.9358,28.741
416,-9.9036,-9.8091,28.889
417,-9.8925,-9.6734,29.025
418,-9.8732,-9.5332,29.144
419,-9.8456,-9.3864,29.251
420,-9.8099,-9.2342,29.343
421,-9.7663,-9.0777,29.421
422,-9.7198,-8.9319,29.479
423,-9.6671,-8.7842,29.524
424,-9.6086,-8.6357,29.557
425,-9.5446,-8.4871,29.577
426,-9.4782,-8.345,29.584
427,-9.4074,-8.2043,29.579
428,-9.3325,-8.0658,29.563
429,-9.254,-7.93,29.536
430,-9.1725,-7.7981,29.498
431,-9.0883,-7.6702,29.45
432,-9.0015,-7.5467,29.392
433,-8.9128,-7.4281,29.324
434,-8.8207,-7.3126,29.246
435,-8.7275,-7.2031,29.158
436,-8.6334,-7.0998,29.063
437,-8.539,-7.003,28.959
438,-8.441,-6.9096,28.844
439,-8.3435,-6.8237,28.722
440,-8.247,-6.7455,28.593
441,-8.1519,-6.6751,28.459
442,-8.0533,-6.6092,28.311
443,-7.9571,-6.5521,28.159
444,-7.8638,-6.5037,28.002
445,-7.7737,-6.4641,27.841
446,-7.6806,-6.4311,27.665
447,-7.5921,-6.4079,27.487
448,-7.5086,-6.3945,27.307
449,-7.4303,-6.3905,27.127
450,-7.3499,-6.3969,26.927
451,-7.2767,-6.4144,26.728
452,-7.211,-6.4427,26.53
453,-7.153,-6.4813,26.336
454,-7.0946,-6.5397,26.112
455,-7.0475,-6.6114,25.895
456,-7.0118,-6.6958,25.686
457,-6.9875,-6.7923,25.486
458,-6.9745,-6.9029,25.292
459,-6.9735,-7.0249,25.111
460,-6.9845,-7.1576,24.944
461,-7.0071,-7.3003,24.791
462,-7.0402,-7.448,24.657
463,-7.084,-7.6039,24.54
464,-7.1383,-7.7671,24.439
465,-7.2027,-7.9369,24.356
466,-7.2703,-8.0977,24.297
467,-7.3458,-8.2626,24.254
468,-7.4289,-8.4308,24.228
469,-7.5191,-8.6014,24.22
470,-7.6112,-8.7651,24.229
471,-7.7089,-8.9294,24.255
472,-7.8119,-9.0931,24.297
473,-7.9197,-9.2555,24.357
474,-8.0268,-9.4085,24.431
475,-8.1372,-9.5582,24.521
476,-8.2505,-9.7036,24.626
477,-8.366,-9.8435,24.747
478,-8.4784,-9.9718,24.878
479,-8.5918,-10.093,25.023
480,-8.7054,-10.206,25.181
481,-8.8187,-10.31,25.351
482,-8.9279,-10.401,25.528
483,-9.0355,-10.481,25.716
484,-9.1407,-10.55,25.913
485,-9.2429,-10.607,26.118
486,-9.3373,-10.648,26.322
487,-9.4278,-10.677,26.531
488,-9.5136,-10.693,26.744
489,-9.5941,-10.695,26.96
490,-9.6657,-10.684,27.167
491,-9.7314,-10.659,27.375
492,-9.7908,-10.622,27.582
493,-9.8434,-10.571,27.786
494,-9.8886,-10.508,27.984
495,-9.9263,-10.433,28.178
496,-9.9563,-10.345,28.364
497,-9.9783,-10.246,28.543
498,-9.9924,-10.131,28.72
499,-9.9975,-10.005,28.885
500,-9.9935,-9.8695,29.039
501,-9.9803,-9.7244,29.18
502,-9.9589,-9.5767,29.302
503,-9.9291,-9.4225,29.41
504,-9.891,-9.2629,29.505
505,-9.8449,-9.0991,29.584
506,-9.7958,-8.9461,29.643
507,-9.7405,-8.7914,29.689
508,-9.6792,-8.6359,29.723
509,-9.6123,-8.4804,29.743
510,-9.5428,-8.3313,29.75
511,-9.4688,-8.1839,29.745
512,-9.3906,-8.0386,29.728
513,-9.3086,-7.8963,29.7
514,-9.2235,-7.7579,29.661
515,-9.1354,-7.6236,29.611
516,-9.0448,-7.4939,29.551
517,-8.9522,-7.3693,29.481
518,-8.8559,-7.2478,29.4
519,-8.7583,-7.1325,29.309
520,-8.6599,-7.0236,29.211
521,-8.5611,-6.9214,29.104
522,-8.4584,-6.8226,28.985
523,-8.3562,-6.7315,28.858
524,-8.2549,-6.6484,28.725
525,-8.155,-6.5732,28.586
526,-8.0513,-6.5025,28.434
527,-7.95,-6.4408,28.276
528,-7.8515,-6.3881,28.113
529,-7.7563,-6.3443,27.947
530,-7.6577,-6.3071,27.765
531,-7.5638,-6.28,27.581
532,-7.4748,-6.2627,27.394
533,-7.3911,-6.2552,27.207
534,-7.305,-6.2578,26.999
535,-7.2261,-6.2716,26.793
536,-7.1547,-6.2963,26.588
537,-7.0909,-6.3315,26.386
538,-7.0259,-6.386,26.152
539,-6.972,-6.454,25.924
540,-6.9296,-6.5349,25.703
541,-6.8987,-6.6281,25.492
542,-6.8787,-6.7386,25.281
543,-6.8714,-6.8613,25.082
544,-6.8767,-6.9956,24.896
545,-6.8945,-7.1408,24.726
546,-6.9231,-7.2896,24.577
547,-6.9629,-7.4471,24.444
548,-7.0135,-7.6127,24.328
549,-7.0747,-7.7856,24.23
550,-7.141,-7.9527,24.155
551,-7.2158,-8.1247,24.098
552,-7.299,-8.301,24.058
553,-7.39,-8.4807,24.036
554,-7.4838,-8.6542,24.033
555,-7.584,-8.8291,24.047
556,-7.6901,-9.0045,24.08
557,-7.8017,-9.1793,24.131
558,-7.9131,-9.3449,24.197
559,-8.0286,-9.508,24.28
560,-8.1476,-9.6674,24.381
561,-8.2694,-9.8219,24.498
562,-8.3881,-9.9641,24.627
563,-8.5083,-10.1,24.77
564,-8.6293,-10.227,24.928
565,-8.7505,-10.346,25.1
566,-8.8671,-10.452,25.279
567,-8.9826,-10.546,25.47
568,-9.0962,-10.63,25.672
569,-9.2072,-10.701,25.884
570,-9.3109,-10.756,26.096
571,-9.411,-10.799,26.315
572,-9.5066,-10.828,26.539
573,-9.5972,-10.842,26.768
574,-9.6777,-10.842,26.988
575,-9.7526,-10.828,27.208
576,-9.8213,-10.8,27.429
577,-9.8833,-10.758,27.648
578,-9.9372,-10.704,27.86
579,-9.9838,-10.636,28.068
580,-10.023,-10.556,28.271
581,-10.054,-10.462,28.467
582,-10.077,-10.354,28.659
583,-10.091,-10.234,28.841
584,-10.096,-10.103,29.013
585,-10.092,-9.9615,29.172
586,-10.078,-9.8101,29.318
587,-10.056,-9.6503,29.451
588,-10.024,-9.4835,29.568
589,-9.9828,-9.3107,29.669
590,-9.9381,-9.1502,29.747
591,-9.8865,-8.9869,29.811
592,-9.8282,-8.8217,29.861
593,-9.7635,-8.6556,29.898
594,-9.6963,-8.4973,29.919
595,-9.6238,-8.3398,29.928
596,-9.5466,-8.1839,29.924
597,-9.465,-8.0303,29.909
598,-9.3803,-7.8812,29.881
599,-9.292,-7.7356,29.842
600,-9.2006,-7.5942,29.792
601,-9.1065,-7.4575,29.732
602,-9.0087,-7.324,29.66
603,-8.9091,-7.1964,29.578
604,-8.808,-7.0749,29.487
605,-8.706,-6.9599,29.387
606,-8.5998,-6.8481,29.275
607,-8.4936,-6.7438,29.155
608,-8.3877,-6.6473,29.027
609,-8.2825,-6.5587,28.892
610,-8.1733,-6.4741,28.744
611,-8.0658,-6.3985,28.589
612,-7.9605,-6.3318,28.43
613,-7.858,-6.274,28.265
614,-7.7516,-6.2219,28.085
615,-7.6491,-6.1799,27.901
616,-7.551,-6.1478,27.715
617,-7.4576,-6.1253,27.526
618,-7.3612,-6.1116,27.318
619,-7.2711,-6.1089,27.11
620,-7.1877,-6.1169,26.902
621,-7.1113,-6.1352,26.696
622,-7.033,-6.1684,26.463
623,-6.9643,-6.214,26.234
624,-6.9054,-6.2718,26.009
625,-6.8565,-6.341,25.791
626,-6.8131,-6.4337,25.55
627,-6.7828,-6.54,25.319
628,-6.7659,-6.6595,25.101
629,-6.7622,-6.7914,24.895
630,-6.771,-6.9303,24.71
631,-6.792,-7.0796,24.539
632,-6.825,-7.2387,24.384
633,-6.8697,-7.4069,24.246
634,-6.9227,-7.5745,24.131
635,-6.9858,-7.7492,24.034
636,-7.0587,-7.9301,23.954
637,-7.141,-8.1167,23.893
638,-7.2276,-8.2981,23.854
639,-7.3221,-8.4831,23.832
640,-7.424,-8.6707,23.829
641,-7.5329,-8.86,23.846
642,-7.6434,-9.042,23.881
643,-7.7596,-9.2236,23.934
644,-7.8807,-9.4037,24.007
645,-8.0064,-9.5811,24.098
646,-8.1299,-9.7467,24.203
647,-8.2563,-9.9075,24.325
648,-8.3851,-10.062,24.465
649,-8.5155,-10.21,24.621
650,-8.6411,-10.343,24.786
651,-8.767,-10.467,24.965
652,-8.8923,-10.581,25.158
653,-9.0165,-10.684,25.364
654,-9.1354,-10.772,25.576
655,-9.2516,-10.847,25.798
656,-9.3646,-10.909,26.03
657,-9.4734,-10.955,26.269
658,-9.5711,-10.985,26.499
659,-9.6638,-11.001,26.733
660,-9.751,-11.002,26.97
661,-9.8322,-10.988,27.209
662,-9.9038,-10.96,27.438
663,-9.9687,-10.918,27.666
664,-10.027,-10.862,27.892
665,-10.077,-10.792,28.113
666,-10.119,-10.708,28.328
667,-10.153,-10.61,28.537
668,-10.178,-10.5,28.737
669,-10.194,-10.378,28.927
670,-10.202,-10.237,29.115
671,-10.199,-10.085,29.29
672,-10.186,-9.9229,29.45
673,-10.163,-9.7512,29.595
674,-10.133,-9.5856,29.714
675,-10.095,-9.4143,29.819
676,-10.048,-9.2384,29.908
677,-9.9937,-9.0591,29.982
678,-9.9361,-8.8905,30.037
679,-9.8723,-8.7208,30.078
680,-9.8024,-8.551,30.105
681,-9.7269,-8.3819,30.119
682,-9.6484,-8.2187,30.12
683,-9.5653,-8.0578,30.108
684,-9.478,-7.8997,30.083
685,-9.3869,-7.7452,30.047
686,-9.2921,-7.5944,29.999
687,-9.1944,-7.4484,29.94
688,-9.0942,-7.3077,29.871
689,-8.9919,-7.1726,29.791
690,-8.8854,-7.0406,29.699
691,-8.7776,-6.9154,29.598
692,-8.6691,-6.7974,29.487
693,-8.5602,-6.6867,29.369
694,-8.4469,-6.5793,29.237
695,-8.3341,-6.4804,29.098
696,-8.2224,-6.39,28.952
697,-8.1122,-6.3082,28.799
698,-7.9975,-6.2309,28.632
699,-7.8855,-6.1633,28.459
700,-7.7766,-6.1053,28.282
701,-7.6711,-6.0567,28.1
702,-7.5617,-6.0149,27.902
703,-7.4572,-5.9837,27.701
704,-7.358,-5.9629,27.498
705,-7.2644,-5.9523,27.294
706,-7.1678,-5.952,27.068
707,-7.0788,-5.9633,26.843
708,-6.9976,-5.9858,26.62
709,-6.9244,-6.0192,26.399
710,-6.8493,-6.0715,26.145
711,-6.7856,-6.1374,25.897
712,-6.7336,-6.2164,25.656
713,-6.6933,-6.3079,25.424
714,-6.6625,-6.4232,25.177
715,-6.646,-6.5524,24.943
716,-6.6439,-6.6949,24.724
717,-6.6561,-6.85,24.52
718,-6.6795,-7.0029,24.348
719,-6.7146,-7.1653,24.191
